Distance_km,Vehicle_Type,Passengers,Nominal_L_per_100km,Duration_min,Fuel_Consumed_L
22.01,SUV,3,7.82,34.18,1.85
6.19,Van,8,12.24,19.04,1.07
7.97,SUV,4,8.65,14.48,0.88
20.59,Sedan,4,8.41,31.48,2.01
13.84,Van,1,11.9,32.59,2.07
19.03,Sedan,4,5.92,26.78,1.17
11.4,Sedan,2,6.49,14.25,0.74
31.9,Sedan,4,6.58,43.32,2.26
8.42,Sedan,3,5.63,14.66,0.37
58.52,Van,12,9.36,81.37,6.69
46.43,SUV,4,10.05,70.88,5.4
29.49,Sedan,3,7.51,43.43,2.58
7.47,Bus,36,19.81,26.75,1.96
19.06,Bus,16,22.55,55.74,5.13
30.61,Bus,25,16.37,78.15,7.58
39.58,Sedan,3,8.51,43.72,3.97
39.44,SUV,3,7.65,46.15,2.88
34.7,Bus,7,14.96,88.74,5.06
3.69,Van,11,7.83,11.2,0.49
10.46,Sedan,2,5.97,24.74,0.61
35.3,Sedan,2,5.9,62.11,2.16
14.5,SUV,6,9.79,25.41,1.25
26.4,Bus,20,18.73,54.11,5.93
60.87,SUV,7,7.21,119.66,4.5
14.01,SUV,7,8.41,15.34,1.33
41.27,Sedan,2,6.05,64.24,2.82
27.32,Van,9,7.8,67.36,2.16
77.45,Van,14,9.23,105.67,7.56
27.37,Sedan,3,5.58,49.86,1.7
14.65,Van,7,13.58,32.38,2.05
22.07,Bus,20,18.57,56.13,4.56
10.0,Sedan,4,7.29,16.77,0.65
33.85,SUV,6,6.75,70.47,2.42
16.53,Sedan,4,7.93,35.15,1.54
22.05,Van,12,13.34,45.0,4.02
43.31,SUV,2,6.0,83.49,2.51
9.18,SUV,2,7.94,16.4,0.55
39.66,Van,2,11.89,62.74,4.94
6.81,Sedan,4,7.27,18.3,0.48
20.24,Bus,7,15.96,36.92,4.31
29.59,SUV,2,8.54,56.91,2.52
35.3,Sedan,3,5.78,63.14,2.16
9.81,Van,13,11.2,15.63,1.46
61.42,Van,7,13.15,100.14,9.3
29.88,Sedan,2,5.57,59.02,1.74
35.59,Bus,17,21.0,68.83,10.85
30.01,Bus,8,15.65,76.02,5.03
10.14,Sedan,4,5.48,9.54,0.54
13.1,Bus,32,20.46,19.12,3.7
46.75,Sedan,4,7.61,71.52,4.1
47.67,Sedan,3,7.52,59.88,4.14
4.42,Sedan,1,4.92,9.77,0.2
33.61,Bus,14,16.6,85.0,6.45
19.99,Van,5,12.48,41.61,2.78
28.71,Sedan,4,6.55,43.57,2.37
24.67,SUV,3,7.39,58.36,2.01
24.41,SUV,6,9.69,42.21,2.94
11.82,Sedan,3,5.64,26.4,0.73
40.26,Bus,32,23.38,87.59,15.47
14.57,Van,4,13.78,31.22,1.82
19.7,SUV,1,9.91,26.6,2.13
12.03,Bus,5,22.08,32.38,3.42
22.04,SUV,1,9.1,30.38,2.45
8.52,Bus,16,20.3,18.47,2.0
15.1,Van,7,13.66,29.03,2.26
40.12,SUV,4,9.37,69.43,3.39
9.63,Sedan,2,6.19,22.47,0.79
33.38,Bus,13,12.89,65.51,4.63
7.91,SUV,5,8.88,14.86,0.81
13.9,Sedan,2,7.49,26.04,1.19
14.06,Sedan,2,7.63,18.35,1.37
37.88,SUV,1,9.76,61.28,3.73
47.95,SUV,4,8.19,51.57,3.88
17.47,Van,13,7.44,35.07,1.5
8.47,Bus,39,16.51,26.53,2.21
15.59,Sedan,2,6.13,24.29,1.12
16.49,Van,4,10.44,31.28,1.7
15.22,Sedan,3,7.24,28.53,1.18
20.0,Bus,29,23.96,50.16,6.5
12.04,Van,13,11.22,28.41,1.62
8.85,SUV,4,8.67,21.54,0.98
4.91,Van,12,10.53,14.66,0.57
36.85,Sedan,1,6.65,47.62,2.75
24.54,SUV,4,7.76,39.01,2.28
31.5,Van,8,11.22,61.26,4.33
28.91,SUV,4,9.68,56.62,2.7
20.94,Sedan,1,6.75,32.17,1.58
19.97,SUV,2,9.69,19.35,2.39
60.59,Van,3,11.78,134.62,6.76
15.37,Sedan,2,4.37,22.85,0.78
22.38,Sedan,1,7.26,32.23,1.56
16.34,Van,11,9.79,26.94,1.57
10.62,Van,5,9.03,19.74,1.09
76.35,Sedan,2,5.17,128.84,4.7
30.61,Sedan,1,7.02,47.9,2.16
13.72,Sedan,4,6.23,27.36,0.88
11.68,Sedan,4,4.48,15.76,0.68
33.34,SUV,6,9.72,62.24,3.29
42.04,Van,8,8.41,73.87,3.35
9.53,Van,14,11.25,17.73,1.32
19.42,SUV,1,9.36,43.05,2.07
22.31,Sedan,1,7.56,22.05,2.07
22.42,Van,6,14.21,43.84,3.23
25.36,SUV,3,6.95,46.9,1.71
18.13,Bus,31,17.84,32.45,4.56
20.45,SUV,6,8.59,33.13,2.0
21.22,Sedan,1,7.02,36.49,1.59
9.11,Van,10,11.39,21.52,1.2
59.73,Sedan,3,6.08,101.96,3.36
34.58,Van,4,10.21,59.12,3.63
40.65,Sedan,3,5.16,71.35,1.95
26.02,Sedan,3,7.69,43.74,1.9
77.74,Bus,31,19.38,204.3,25.2
2.0,Sedan,2,7.6,9.5,0.2
22.89,Van,8,10.44,34.14,3.15
11.4,Sedan,4,5.71,12.5,0.6
24.09,SUV,5,7.38,41.93,2.37
52.54,Van,13,11.65,64.08,6.59
32.87,SUV,2,7.44,56.03,2.22
21.36,Sedan,4,8.72,44.61,1.87
55.86,Sedan,1,4.93,91.1,3.2
38.31,Sedan,4,6.83,51.88,2.8
30.73,Sedan,2,8.38,41.2,3.14
30.2,Van,11,12.08,43.2,4.52
36.92,Bus,38,18.53,66.97,10.73
14.56,Bus,25,15.09,44.89,2.99
13.25,Van,13,8.51,26.0,1.28
10.56,Van,1,12.39,21.67,1.27
15.02,Van,10,13.71,32.24,2.35
53.76,Sedan,2,5.97,88.95,3.04
19.43,Bus,34,14.58,44.72,4.91
54.44,Van,12,6.58,100.98,4.78
14.25,SUV,5,7.53,24.29,1.08
43.07,Sedan,2,6.36,64.17,2.9
48.08,SUV,6,11.4,90.68,6.08
24.39,SUV,4,10.01,50.03,2.65
19.22,Bus,33,18.92,54.55,5.66
12.54,SUV,7,8.4,29.88,1.08
39.91,Sedan,3,5.8,71.93,2.5
18.74,Bus,8,22.22,45.68,5.28
17.15,Sedan,1,6.74,16.68,1.32
27.91,SUV,3,5.85,34.31,1.43
32.94,Sedan,2,5.69,44.5,1.84
12.06,Van,13,9.46,21.99,1.45
27.84,Bus,35,16.36,66.52,7.79
48.22,Sedan,2,7.18,77.41,4.16
10.42,Bus,43,17.68,30.04,3.23
40.45,Sedan,2,6.41,48.23,3.33
40.24,Bus,35,21.94,82.41,12.26
42.38,Van,6,9.75,72.3,3.94
33.83,Van,4,14.36,49.4,5.1
32.72,Sedan,3,5.69,55.91,2.08
39.62,Bus,40,18.27,95.4,10.69
27.81,Van,12,10.49,39.98,2.94
16.29,Sedan,4,6.65,24.81,1.31
16.03,Van,7,11.8,28.63,1.87
20.88,Sedan,4,7.02,31.76,1.72
35.27,Bus,43,15.74,92.36,7.62
21.29,Sedan,3,5.15,37.33,1.44
19.05,Van,12,15.51,44.69,3.92
42.15,SUV,4,8.27,80.99,4.37
24.87,Sedan,1,7.34,26.41,2.17
8.09,Sedan,4,4.57,14.77,0.44
10.57,Sedan,3,6.16,21.44,0.7
9.6,SUV,6,8.81,22.01,0.95
21.65,Sedan,3,7.07,41.09,1.92
10.89,SUV,2,4.92,26.39,0.48
19.21,Sedan,4,6.7,30.7,1.5
15.36,Sedan,1,5.12,25.91,0.82
6.9,Van,2,11.58,17.59,0.9
10.39,Sedan,3,5.26,16.43,0.46
55.72,Bus,22,15.43,99.59,12.37
17.55,Bus,28,17.18,47.96,4.84
16.77,Van,6,9.11,30.81,1.92
16.2,SUV,6,8.29,30.95,1.48
25.91,Bus,20,14.42,45.47,5.58
22.1,Sedan,2,4.3,28.32,1.08
63.29,Sedan,4,7.72,110.46,4.91
43.77,Sedan,1,4.94,84.31,2.74
62.09,Van,14,10.68,134.75,8.82
34.9,Sedan,1,7.4,47.77,2.98
32.25,SUV,4,8.08,63.12,2.56
10.08,Bus,17,15.52,12.18,1.92
4.38,Bus,39,18.68,16.25,1.11
7.98,SUV,4,10.68,11.82,1.02
7.2,Sedan,3,5.1,18.93,0.29
19.85,Van,8,10.73,29.26,2.22
38.64,SUV,1,6.4,70.3,2.41
14.07,Sedan,1,6.03,27.29,0.77
11.8,Sedan,1,6.54,27.44,0.67
36.72,Bus,7,15.44,74.58,7.41
11.89,Van,3,10.18,24.86,1.19
53.82,Van,14,8.47,81.96,6.13
10.71,Bus,22,18.23,27.17,2.63
38.53,SUV,2,10.58,61.66,4.7
26.3,SUV,3,7.35,50.47,1.99
3.12,SUV,1,8.07,13.35,0.23
12.66,Sedan,2,7.1,19.23,0.87
39.9,SUV,4,10.82,44.92,4.96
7.07,Van,11,8.31,22.13,0.65
16.89,SUV,4,8.75,19.37,1.5
7.33,Bus,23,18.85,19.96,1.83
19.92,SUV,2,8.85,35.41,2.0
28.13,SUV,6,5.28,50.63,1.53
23.75,SUV,7,9.75,35.22,2.41
25.06,SUV,2,11.28,48.49,3.26
23.66,Van,12,11.21,59.44,3.34
18.66,Sedan,3,5.26,32.83,1.05
35.92,SUV,3,8.23,68.37,3.0
6.9,Sedan,2,8.62,5.0,0.44
52.04,Sedan,1,7.59,59.14,3.52
24.36,SUV,5,9.96,57.01,2.29
7.66,Van,5,11.64,14.14,0.94
47.87,Bus,34,16.02,83.44,9.95
19.09,SUV,1,8.7,32.83,1.63
15.11,Van,10,10.86,32.09,2.32
7.81,SUV,5,9.82,22.56,0.99
13.93,SUV,1,11.26,36.54,1.31
37.03,Sedan,2,7.84,45.42,3.17
11.35,Sedan,4,4.8,18.6,0.67
37.48,Sedan,2,6.77,53.19,2.39
16.98,SUV,6,10.11,29.72,2.16
10.22,Sedan,4,7.24,23.5,1.04
14.47,Sedan,4,5.74,22.68,0.94
29.32,Sedan,2,10.0,42.98,3.14
25.04,Bus,28,14.17,50.64,5.28
55.67,Sedan,1,5.2,70.26,3.42
17.6,SUV,6,9.35,21.52,1.97
38.19,Sedan,4,9.04,56.7,3.26
19.84,SUV,3,7.75,25.66,1.78
12.11,Sedan,4,6.18,25.76,0.96
8.85,Sedan,1,7.79,12.62,0.61
17.76,SUV,7,8.97,30.59,1.62
21.53,Sedan,1,6.1,46.65,1.44
46.94,Sedan,1,7.18,51.91,3.7
55.28,Sedan,3,6.83,76.73,4.58
55.19,Sedan,1,7.74,92.95,4.22
13.11,Sedan,3,8.05,19.47,1.26
11.21,Sedan,1,6.87,14.89,0.83
13.96,Van,14,11.53,22.67,2.09
19.46,SUV,1,9.32,21.87,2.07
5.61,SUV,3,9.73,14.31,0.53
10.64,Sedan,2,6.57,19.25,0.77
44.97,Bus,42,18.0,93.28,14.27
25.98,Sedan,4,7.94,40.09,1.99
14.75,Sedan,4,8.32,28.23,1.3
6.15,SUV,4,6.74,14.16,0.41
25.6,Sedan,2,6.51,27.72,1.68
22.39,Sedan,4,5.67,41.56,1.37
10.63,SUV,2,8.53,20.06,1.04
33.53,Bus,9,19.21,79.37,7.48
15.26,SUV,3,10.0,30.58,1.65
23.99,Van,4,10.8,54.53,2.46
54.83,Bus,26,12.26,155.03,10.83
32.41,Sedan,3,5.34,58.8,1.88
7.87,Sedan,3,7.58,20.86,0.57
32.49,Sedan,2,4.0,45.12,1.53
13.46,SUV,3,10.78,32.72,1.86
29.47,SUV,7,9.78,49.33,3.07
37.95,Bus,39,21.95,107.58,12.16
24.0,Van,12,10.64,49.8,3.2
8.37,SUV,7,5.91,21.45,0.46
4.03,Sedan,1,7.02,5.42,0.29
42.86,Van,5,13.29,88.71,6.49
50.93,Bus,24,20.77,147.54,12.35
12.9,Van,9,9.81,31.24,1.67
3.47,Sedan,3,6.6,10.03,0.32
7.15,SUV,1,8.2,12.06,0.71
15.71,Sedan,2,5.52,17.76,0.91
37.76,Sedan,3,7.65,66.16,3.18
3.5,Sedan,1,5.06,10.96,0.2
46.25,SUV,1,7.66,73.03,3.75
42.98,Van,3,9.01,77.28,3.82
45.71,Sedan,3,4.71,74.5,2.71
10.0,Sedan,3,6.68,22.8,0.59
39.73,SUV,4,10.74,57.8,4.68
22.08,Sedan,2,6.28,44.12,1.29
9.5,Sedan,4,4.69,17.36,0.58
23.8,SUV,5,10.26,34.8,2.77
21.57,Van,2,14.03,38.44,3.54
7.12,Sedan,4,5.72,22.47,0.46
31.55,Sedan,1,5.93,39.63,2.21
20.87,Sedan,3,7.12,37.67,1.62
16.56,Bus,33,22.87,43.87,5.43
16.12,Van,8,10.06,26.44,1.88
26.69,Van,9,8.6,50.98,2.24
15.29,Sedan,2,7.26,29.59,1.08
4.2,SUV,5,10.2,12.89,0.54
9.12,Sedan,3,6.51,23.55,0.64
21.04,SUV,4,8.16,34.75,2.15
14.67,Bus,42,20.98,37.89,4.53
16.41,SUV,6,9.79,23.02,1.82
10.31,Bus,28,15.69,21.27,1.95
10.41,Van,8,11.09,18.9,1.52
29.6,Sedan,1,4.88,57.03,1.72
23.55,Bus,13,20.06,47.52,6.25
11.49,Sedan,2,6.19,22.25,0.67
16.01,SUV,1,8.35,36.78,1.29
34.36,Sedan,3,6.46,59.7,2.57
8.8,Sedan,3,6.55,18.16,0.82
37.27,SUV,5,10.34,54.29,3.87
18.95,Sedan,2,7.21,35.12,1.39
16.16,SUV,5,8.77,32.73,1.43
7.45,SUV,4,10.15,11.6,0.64
85.61,Sedan,2,6.98,145.36,6.68
27.87,Sedan,2,5.99,39.68,1.88
4.11,SUV,4,8.81,16.74,0.43
24.38,Sedan,4,6.32,45.5,1.75
42.61,Van,3,11.91,88.88,5.01
25.49,Van,13,10.34,44.32,3.35
34.94,Van,6,10.3,75.69,4.11
14.21,Van,4,14.54,23.01,2.61
12.89,SUV,6,10.41,20.08,1.45
17.25,Van,4,9.63,36.82,1.73
21.87,Sedan,2,7.19,27.3,1.85
14.44,Sedan,2,6.64,26.35,1.16
18.67,Van,11,11.7,38.03,2.25
9.2,SUV,3,9.21,19.0,0.67
5.59,Van,3,13.14,11.97,0.64
11.68,Van,11,11.62,32.53,1.91
59.79,Bus,44,17.81,125.06,16.29
44.67,Bus,36,21.13,107.92,14.22
24.78,SUV,1,9.35,25.8,2.59
6.58,Sedan,3,6.65,16.59,0.5
19.75,SUV,2,9.47,24.4,2.32
23.09,Sedan,2,6.39,32.13,1.58
13.82,SUV,1,9.01,28.98,1.24
46.35,Van,1,9.94,87.85,4.52
8.86,Van,13,9.65,26.78,1.17
29.65,Sedan,4,5.3,42.19,1.79
8.67,Sedan,3,4.83,16.45,0.47
9.56,SUV,6,7.68,21.46,0.72
19.77,Sedan,2,6.29,26.59,1.34
3.12,Bus,36,18.31,16.03,0.79
23.79,Sedan,1,6.17,36.1,1.65
14.97,Sedan,4,4.0,34.88,0.58
18.77,Sedan,1,8.39,27.82,1.85
12.62,SUV,5,10.63,19.28,1.51
45.59,SUV,5,9.67,74.85,4.84
36.45,Sedan,4,8.79,49.29,3.16
29.47,Sedan,3,5.33,51.67,1.5
9.97,SUV,6,11.83,26.07,1.12
31.74,Sedan,4,5.34,38.6,2.09
25.79,Van,11,11.43,46.27,3.77
78.57,SUV,2,7.09,105.12,6.61
6.5,Sedan,4,6.52,17.42,0.55
17.85,Sedan,4,6.96,25.04,1.4
12.77,Bus,7,17.54,28.1,2.52
26.34,SUV,4,10.07,51.38,2.51
5.87,Van,10,11.18,13.6,0.97
33.24,Sedan,3,5.87,53.18,2.09
5.82,SUV,4,8.15,6.08,0.27
26.63,Sedan,2,7.47,46.89,1.82
16.13,SUV,7,8.02,22.87,1.52
10.89,Bus,28,20.75,29.46,3.11
8.75,Sedan,2,7.97,8.42,0.72
12.66,Sedan,1,4.5,22.04,0.7
16.53,Sedan,4,7.86,27.89,1.54
20.62,Sedan,4,8.97,27.78,1.72
22.43,Sedan,2,6.8,41.92,1.6
18.05,Sedan,2,7.22,25.48,1.47
15.73,Van,5,12.87,28.26,1.95
53.56,SUV,7,8.59,93.86,5.68
31.87,Sedan,2,6.72,51.43,2.26
6.68,Bus,42,14.06,16.63,1.46
13.82,Sedan,2,6.67,28.28,0.97
19.27,Bus,42,19.49,36.83,6.68
11.18,Sedan,3,7.12,27.58,0.8
16.58,Bus,37,21.2,48.5,5.35
7.13,SUV,2,7.84,15.49,0.68
21.75,Van,3,10.04,43.98,2.29
64.61,Bus,15,23.69,167.51,21.85
22.62,Sedan,3,6.32,33.13,1.28
22.56,Bus,27,18.6,49.23,6.75
18.05,Sedan,2,6.42,33.57,1.37
8.42,Sedan,2,5.51,19.5,0.68
56.74,Sedan,1,8.45,92.16,5.6
24.18,SUV,1,8.21,48.94,2.12
29.42,Sedan,1,5.15,39.82,1.56
15.69,SUV,5,8.32,38.52,1.53
30.02,SUV,4,6.0,59.86,2.04
56.52,Van,3,9.83,97.22,5.86
45.3,Van,4,9.26,102.47,4.65
2.0,SUV,3,9.93,5.0,0.2
43.54,Sedan,3,5.69,84.49,2.79
9.97,Sedan,3,7.57,19.74,1.01
10.48,Sedan,3,8.18,17.75,0.88
7.22,Sedan,3,7.44,12.74,0.71
9.68,Sedan,1,6.24,19.9,0.54
26.78,Sedan,4,6.67,33.52,1.74
22.41,Bus,10,13.43,40.13,3.18
30.92,SUV,5,8.8,39.35,3.22
20.7,Sedan,4,5.47,32.27,1.06
9.99,SUV,3,10.04,15.01,1.23
32.65,Sedan,4,9.59,62.53,3.92
16.77,SUV,3,9.75,32.3,1.79
33.19,SUV,3,6.01,61.61,1.98
24.36,SUV,2,8.46,33.05,2.33
21.96,SUV,7,9.18,38.98,2.4
62.96,Bus,39,18.26,169.21,15.47
4.32,Bus,13,15.81,9.99,0.87
4.66,SUV,1,9.37,9.55,0.5
12.71,SUV,4,7.14,26.86,1.0
33.45,SUV,7,7.58,42.99,2.66
14.07,Sedan,2,7.27,30.52,1.3
17.13,Sedan,2,5.28,20.53,1.1
4.92,Sedan,1,7.15,18.83,0.44
32.56,SUV,4,6.95,55.5,2.41
5.18,SUV,5,11.65,11.25,0.78
15.75,Sedan,2,5.57,26.51,0.78
3.06,Bus,29,17.33,7.87,0.65
37.15,Bus,19,18.99,70.07,9.88
4.8,Van,13,9.98,13.53,0.62
15.0,SUV,3,9.22,33.14,1.64
12.88,Bus,35,19.73,22.52,3.45
29.56,Sedan,3,7.65,59.4,2.38
22.8,Van,12,12.42,58.49,3.39
60.78,Sedan,4,6.29,73.79,4.84
6.48,Van,7,10.74,24.39,0.72
43.49,Sedan,2,9.32,71.06,4.7
49.19,Bus,27,20.85,99.72,12.52
59.41,Bus,40,15.23,102.75,16.55
20.72,Sedan,3,6.62,32.47,1.1
7.58,SUV,6,8.5,22.74,0.56
27.61,Bus,34,17.59,83.74,6.3
5.49,SUV,5,7.16,21.21,0.54
40.45,Bus,41,16.76,86.15,11.29
19.15,SUV,4,11.72,31.34,2.8
25.59,Sedan,1,7.19,40.44,1.56
59.27,Sedan,2,4.0,105.74,2.72
22.64,Sedan,2,7.96,37.14,1.96
7.66,Van,8,12.96,12.37,1.18
19.26,Sedan,2,6.07,28.62,1.25
13.18,SUV,2,10.08,23.99,1.42
24.28,SUV,6,7.71,49.37,2.33
15.48,SUV,6,8.29,37.87,1.57
11.96,Bus,26,22.5,35.48,4.17
19.72,Bus,42,17.18,57.06,5.84
7.41,SUV,6,6.2,21.34,0.67
18.54,Van,7,10.89,45.94,2.33
28.71,Van,6,10.86,43.82,3.65
51.03,SUV,7,10.8,98.7,5.52
13.41,Bus,40,18.04,33.49,4.12
67.17,Sedan,2,5.99,101.89,4.04
25.86,Sedan,3,7.75,36.37,1.68
16.14,Bus,11,18.36,41.67,3.56
17.57,SUV,2,7.87,35.23,1.47
20.26,Van,4,13.08,29.7,3.11
14.84,Bus,38,18.58,35.78,4.51
12.18,Sedan,3,6.5,26.25,0.88
23.85,Bus,6,18.53,50.3,5.39
4.19,SUV,6,7.39,14.01,0.45
10.69,SUV,7,8.21,19.24,1.1
32.93,SUV,3,9.01,62.86,3.13
3.45,Bus,35,17.42,16.0,0.73
26.67,Sedan,2,8.03,45.15,2.4
21.87,SUV,4,9.33,36.28,2.03
12.91,Van,7,12.54,29.16,2.09
15.27,Van,6,11.02,24.71,2.11
19.61,Van,4,12.9,40.1,3.11
27.31,Sedan,1,6.98,42.71,1.89
25.75,Sedan,1,6.52,38.68,1.92
41.72,Sedan,2,6.48,48.38,2.92
24.77,Van,14,9.28,56.43,2.71
46.66,Sedan,3,7.11,71.32,3.96
3.98,Sedan,2,6.45,7.28,0.29
41.23,Bus,44,16.49,113.95,9.89
16.23,Sedan,3,7.83,31.96,1.33
23.0,Bus,20,14.25,47.4,3.95
30.75,Van,14,10.24,52.9,3.75
9.16,Van,12,12.85,20.43,1.37
17.5,Sedan,1,6.88,26.69,1.24
43.92,Sedan,4,6.44,67.39,3.31
50.91,Van,6,11.45,86.77,7.53
12.84,Van,7,11.32,20.66,1.58
29.43,Van,10,8.27,65.18,2.7
15.04,Sedan,2,6.08,25.98,1.02
5.83,Van,14,13.91,19.28,0.9
48.8,Van,9,9.81,103.07,5.55
9.15,Van,7,10.43,18.15,1.2
81.5,Van,9,10.03,122.15,8.92
7.12,Van,8,10.84,17.62,0.76
40.54,SUV,5,8.13,81.18,3.74
39.27,Sedan,3,7.08,49.0,2.92
15.13,SUV,4,9.3,24.86,1.63
25.12,Sedan,3,7.43,33.94,2.25
15.44,SUV,1,7.42,34.44,1.21
10.84,SUV,4,8.49,19.61,1.03
28.02,Sedan,1,6.23,46.45,1.62
35.45,Sedan,4,7.05,56.09,2.75
12.12,Sedan,2,5.55,26.21,0.72
48.84,Van,7,12.65,106.7,8.07
24.63,Bus,9,21.56,66.78,6.03
20.53,Sedan,2,5.31,44.32,1.02
20.96,Bus,41,16.53,44.95,6.23
47.98,SUV,5,8.2,72.53,3.97
16.62,Sedan,3,9.66,24.45,1.54
17.2,Sedan,1,5.98,40.53,1.01
47.31,SUV,3,11.52,84.79,6.11
49.62,Van,1,8.72,69.68,4.4
38.77,Van,12,9.22,66.09,3.92
7.8,Sedan,2,5.68,13.54,0.65
66.15,Sedan,4,5.49,120.34,4.12
23.16,SUV,7,8.6,34.88,2.61
20.12,Sedan,3,5.65,42.36,1.0
38.88,Sedan,2,5.52,53.26,2.5
26.76,Sedan,3,7.89,53.08,2.21
15.52,Van,8,13.2,33.48,2.06
53.98,Bus,18,20.85,117.24,12.84
20.03,SUV,7,9.79,49.86,2.24
22.74,Bus,19,18.28,69.69,5.84
53.71,Sedan,3,5.9,72.34,2.99
37.31,SUV,7,7.57,70.96,3.53
31.55,Sedan,1,6.94,50.11,2.39
15.03,SUV,1,7.24,34.49,0.99
27.68,Bus,11,15.02,64.18,4.42
28.81,SUV,1,10.73,52.12,2.95
28.37,Sedan,3,8.78,61.0,2.96
20.46,SUV,4,9.59,31.88,2.23
12.14,Sedan,3,7.83,22.53,0.91
40.75,Bus,18,17.26,116.64,7.85
14.58,SUV,6,6.99,26.82,1.12
21.95,SUV,7,9.92,38.07,2.61
2.38,SUV,2,9.85,15.47,0.27
36.66,SUV,2,9.11,67.94,4.04
10.56,Sedan,3,6.21,11.48,0.56
28.83,Van,11,12.73,38.5,4.47
8.14,Sedan,1,5.32,8.53,0.33
18.74,Van,11,9.61,33.84,1.88
17.49,Van,1,9.19,26.24,1.72
10.66,Van,7,11.15,24.94,1.38
24.99,SUV,4,7.37,39.14,1.69
6.74,SUV,2,7.97,14.43,0.61
34.09,Sedan,4,5.65,62.14,2.18
35.31,Van,3,10.53,56.97,4.11
11.53,Sedan,4,4.72,10.41,0.81
47.58,SUV,1,9.13,86.68,4.44
19.02,Sedan,3,8.0,34.28,1.85
9.88,Sedan,3,6.66,22.84,0.77
5.04,SUV,4,11.31,14.07,0.69
2.0,Sedan,2,8.1,9.87,0.2
45.95,Van,7,12.4,86.98,5.77
12.72,Sedan,2,6.59,15.85,0.89
16.61,Sedan,4,6.53,21.94,1.27
15.52,SUV,1,10.15,30.73,1.92
39.56,Sedan,3,6.03,48.42,2.23
29.96,Sedan,4,4.24,58.71,1.36
23.18,Van,9,11.89,51.8,3.36
7.29,Sedan,3,5.14,11.42,0.53
55.23,Van,6,9.27,119.32,5.17
30.45,Sedan,3,6.5,44.43,1.8
30.91,Sedan,4,6.39,42.64,1.95
8.06,Van,2,8.46,17.33,0.65
9.44,Sedan,1,6.7,10.23,0.71
22.67,Sedan,1,7.66,34.03,1.58
23.07,Sedan,4,5.15,30.49,1.18
10.66,Sedan,2,8.03,15.69,0.97
8.17,Van,3,8.19,22.44,0.81
14.28,Sedan,4,9.04,28.6,1.59
17.25,Van,2,10.26,37.52,1.73
7.37,Bus,38,18.44,24.27,1.85
31.06,SUV,6,6.16,50.94,2.58
32.25,Bus,26,17.81,75.06,7.93
29.11,Sedan,1,6.77,44.15,2.39
7.72,Bus,34,17.74,20.72,2.17
14.13,Sedan,2,5.82,30.1,1.02
34.85,Van,1,9.3,47.64,3.51
24.26,SUV,5,10.7,28.41,2.9
48.04,Sedan,1,6.54,63.5,3.51
43.88,SUV,3,11.31,57.01,4.88
21.04,Van,3,10.05,39.99,2.46
13.91,Sedan,1,5.98,24.19,0.8
33.85,Sedan,4,7.48,42.22,2.5
35.99,Van,14,8.08,54.46,4.03
38.77,Van,14,8.82,55.08,4.18
24.02,Bus,33,21.29,54.85,6.62
12.68,Van,11,8.89,27.34,1.24
28.83,Bus,37,12.54,52.54,4.74
29.65,Van,3,14.36,58.91,4.23
33.18,Sedan,1,4.83,45.53,1.34
14.99,Sedan,2,6.72,15.09,1.35
4.01,Van,1,11.12,13.53,0.3
28.65,SUV,2,4.78,43.74,1.25
6.4,Sedan,1,6.18,8.31,0.48
35.18,Sedan,3,7.04,51.98,2.63
23.45,Bus,37,19.06,43.64,6.61
13.57,SUV,4,10.36,28.2,1.58
46.87,SUV,6,8.42,70.48,5.06
16.49,SUV,6,10.07,28.51,2.09
23.61,Sedan,2,5.67,37.87,1.27
14.68,Sedan,1,4.81,20.47,0.65
22.01,Sedan,4,4.94,37.68,1.07
29.99,Sedan,4,4.75,43.19,1.58
15.53,Van,3,12.82,16.79,1.83
18.9,SUV,7,6.73,21.16,1.47
34.78,Van,7,11.49,80.97,4.73
4.27,Bus,32,17.2,13.61,1.08
36.14,Sedan,2,6.38,57.61,2.46
40.55,Van,10,13.45,78.32,7.49
9.86,SUV,3,8.34,19.04,0.86
5.27,Bus,11,19.83,13.45,1.22
7.94,Sedan,1,6.55,13.86,0.59
10.99,Van,9,10.73,26.14,1.5
8.7,SUV,4,12.45,13.31,1.4
31.47,Sedan,1,4.77,37.81,1.81
19.71,Sedan,3,8.05,34.75,1.45
26.21,Van,11,12.18,35.51,3.37
38.5,Van,7,10.14,80.51,4.11
33.61,Sedan,2,8.46,49.25,2.9
53.29,SUV,3,6.23,77.22,3.47
43.12,Sedan,1,5.87,57.56,3.02
18.31,Van,4,8.82,37.46,1.71
28.83,Sedan,1,6.99,45.62,2.31
54.45,Bus,42,14.66,129.72,14.31
16.49,Sedan,1,7.02,31.75,1.04
30.38,Sedan,1,6.28,54.1,1.89
64.07,Sedan,2,5.92,84.19,4.74
32.62,Sedan,1,6.97,52.63,2.31
10.17,SUV,6,8.6,23.76,0.87
5.51,Sedan,1,5.19,16.12,0.33
11.77,Van,2,16.04,24.95,1.71
19.18,Sedan,4,5.92,19.94,1.45
60.81,Sedan,4,4.0,72.91,2.78
39.77,Sedan,2,5.49,57.03,2.09
16.29,Sedan,3,4.98,33.05,0.91
10.6,Sedan,2,7.49,26.03,0.76
10.51,SUV,5,9.48,16.06,1.07
71.48,SUV,3,9.6,126.39,7.82
